Unique_Speaker,Sex,Location,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,numerical_Agreeableness,numerical_Conscientiousness,numerical_Extraversion,numerical_Neuroticism,numerical_Openness
52,M,Imperial,low,low,low,high,low,44.5,42.0,50.5,46.0,37.5
53,F,Imperial,high,high,low,high,high,70.5,56.0,41.0,47.0,69.0
53,F,Imperial,high,high,high,low,high,70.5,62.0,53.0,37.5,76.5
53,F,Imperial,high,high,high,low,high,61.5,71.5,67.0,33.0,67.5
54,M,Imperial,low,high,high,low,high,49.5,64.0,72.0,28.5,69.0
54,M,Imperial,low,high,high,low,high,52.0,65.0,67.5,31.0,67.0
54,M,Imperial,high,high,high,low,low,61.0,62.5,65.0,29.5,49.0
55,F,Imperial,high,low,low,high,high,54.0,41.0,25.5,47.5,63.0
55,F,Imperial,high,low,low,high,high,54.5,49.0,42.5,53.5,59.5
55,F,Imperial,high,low,high,high,high,57.5,52.5,54.0,51.5,58.0
56,M,Imperial,high,low,low,low,low,57.0,53.0,35.0,29.5,52.5
56,M,Imperial,high,low,low,low,low,56.5,48.5,39.0,30.0,43.5
56,M,Imperial,low,high,low,high,low,42.0,58.5,44.0,41.0,47.5
57,F,Imperial,high,low,low,high,high,61.0,38.0,51.5,64.0,60.0
57,F,Imperial,high,high,high,high,high,58.5,61.0,63.0,42.0,57.0
57,F,Imperial,high,high,high,low,high,67.0,59.0,60.5,40.5,63.0
58,M,Imperial,high,low,low,high,low,53.5,34.5,27.0,49.5,33.5
58,M,Imperial,low,low,low,high,low,30.5,36.5,33.0,52.0,28.5
58,M,Imperial,high,low,low,high,low,53.5,40.5,39.0,47.0,40.0
59,F,Imperial,high,high,low,low,high,71.0,57.0,42.5,40.5,69.0
59,F,Imperial,low,low,high,high,low,52.0,48.0,61.0,42.5,46.0
59,F,Imperial,low,low,low,low,low,44.0,53.0,37.5,30.0,39.0
60,M,Imperial,high,low,low,low,low,55.5,28.5,50.0,35.0,48.0
60,M,Imperial,low,low,high,low,low,31.5,34.0,55.5,28.5,33.0
60,M,Imperial,low,low,high,low,low,39.0,40.0,56.0,23.0,26.0
61,F,Glasgow,high,high,high,low,high,64.0,63.0,57.5,36.5,59.0
61,F,Glasgow,high,high,high,low,high,68.0,68.5,59.5,21.5,64.5
61,F,Glasgow,high,high,high,low,high,72.0,76.0,59.5,31.5,66.0
62,M,Glasgow,low,low,low,high,low,51.5,38.5,39.0,58.0,38.0
62,M,Glasgow,low,low,low,high,low,44.0,42.0,36.5,45.5,36.5
62,M,Glasgow,low,low,low,high,low,46.5,51.0,41.5,55.5,37.0
63,F,Glasgow,high,high,high,low,high,55.0,58.0,60.0,36.5,56.0
63,F,Glasgow,high,high,low,low,low,60.0,55.0,49.0,39.0,48.5
63,F,Glasgow,high,low,low,high,low,53.5,53.0,45.5,49.5,43.0
64,M,Glasgow,high,low,high,low,low,56.0,49.0,55.0,36.0,45.0
64,M,Glasgow,low,high,high,high,high,51.0,60.0,53.5,45.0,54.0
64,M,Glasgow,low,high,high,low,high,52.5,64.5,60.5,40.5,59.5
65,F,Glasgow,high,high,high,low,high,72.0,67.5,70.5,15.0,68.0
65,F,Glasgow,high,high,high,low,high,64.0,73.5,64.0,23.5,63.0
65,F,Glasgow,high,high,high,low,high,59.5,71.5,65.5,25.0,57.5
66,M,Glasgow,low,low,low,high,low,33.5,43.0,50.5,61.0,36.5
66,M,Glasgow,low,low,low,high,low,38.5,36.5,35.0,61.0,37.5
66,M,Glasgow,low,high,high,high,low,41.0,56.5,54.5,51.5,41.5
67,F,Glasgow,low,low,low,high,low,27.5,34.5,34.5,62.0,19.5
67,F,Glasgow,low,low,low,high,low,26.5,27.0,26.0,70.5,31.0
67,F,Glasgow,low,low,low,high,low,29.0,31.5,45.0,63.5,24.5
68,M,Glasgow,low,low,low,high,low,48.0,37.5,32.5,60.5,41.5
68,M,Glasgow,low,low,low,high,low,51.5,32.0,31.0,69.5,41.0
68,M,Glasgow,low,low,low,high,low,38.5,43.5,37.0,58.5,35.5
69,F,Glasgow,high,low,low,low,high,54.0,41.5,39.0,39.0,56.0
69,F,Glasgow,low,low,low,low,low,51.0,50.0,35.5,35.0,40.0
69,F,Glasgow,low,low,low,high,low,51.5,46.0,44.0,54.5,44.5
70,M,Glasgow,high,low,low,high,low,55.0,40.0,40.0,59.5,35.0
70,M,Glasgow,low,high,high,low,low,45.5,58.0,52.5,37.0,48.5
70,M,Glasgow,low,low,high,low,low,41.5,54.5,52.0,35.0,42.5
71,F,Glasgow,high,high,low,low,high,66.5,60.5,51.5,32.0,60.0
71,F,Glasgow,high,high,low,low,high,63.0,59.5,48.5,28.5,65.0
71,F,Glasgow,high,high,high,low,high,57.5,56.0,52.0,27.0,70.5
72,M,Glasgow,low,low,low,high,low,20.0,29.0,33.0,60.5,11.5
72,M,Glasgow,low,low,low,high,low,36.0,44.0,27.5,66.5,43.5
72,M,Glasgow,low,low,low,high,low,39.0,41.0,48.5,56.5,40.0
73,F,Glasgow,low,low,high,high,low,39.0,49.0,61.5,45.5,46.0
